City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Vila Franca do Campo,40,PT,1554176267,76,37.72,-25.43,55.4,17.22
Lam Luk Ka,20,TH,1554176443,70,13.93,100.75,91.0,4.7
Tazovskiy,76,RU,1554176455,96,67.47,78.7,26.08,9.78
Broken Hill,0,AU,1554174000,29,-31.97,141.45,75.2,6.93
Kavieng,44,PG,1554176388,100,-2.57,150.8,83.32,8.43
Dingle,76,PH,1554176459,82,11.0,122.67,78.46,12.8
Puerto Ayora,32,EC,1554175836,93,-0.74,-90.35,78.01,5.41
Padang,20,ID,1554172200,66,-0.92,100.36,86.0,2.24
Havre,75,US,1554175893,64,48.55,-109.68,39.2,6.93
Lorengau,56,PG,1554176447,94,-2.02,147.27,84.31,12.46
Cape Town,0,ZA,1554176179,66,-33.93,18.42,59.0,6.93
Lasa,20,CY,1554174000,87,34.92,32.53,50.0,1.12
Marsh Harbour,24,BS,1554176468,100,26.54,-77.06,75.85,8.55
Araouane,0,ML,1554176028,32,18.9,-3.53,77.83,11.9
Guerrero Negro,0,MX,1554176470,49,27.97,-114.04,64.24,6.64
Belmonte,24,PT,1554175847,93,40.36,-7.35,44.01,1.99
Hobyo,0,SO,1554176381,90,5.35,48.53,77.29,8.66
Saskylakh,20,RU,1554176409,90,71.97,114.09,25.81,10.67
San Carlos de Bariloche,75,AR,1554174000,76,-41.13,-71.31,57.2,20.8
Port Elizabeth,1,US,1554176255,68,39.31,-74.98,39.0,1.39
Bredasdorp,68,ZA,1554175891,86,-34.53,20.04,55.0,11.9
Nyurba,44,RU,1554176477,53,63.29,118.35,35.89,7.54
Cayhagan,24,PH,1554176480,84,9.67,122.43,83.14,6.76
Hobart,75,AU,1554175879,37,-42.88,147.33,68.0,4.7
Ribeira Grande,48,PT,1554176454,100,38.52,-28.7,59.47,22.19
Bluff,0,AU,1554176446,44,-23.58,149.07,83.86,12.24
Walvis Bay,0,NA,1554174132,82,-22.95,14.51,59.0,6.93
New Norfolk,75,AU,1554175879,37,-42.78,147.06,68.0,4.7
Butaritari,68,KI,1554176423,100,3.07,172.79,81.97,9.22
Weihe,92,CN,1554176488,73,32.99,105.33,52.63,2.62
Saint-Philippe,1,CA,1554176313,77,45.36,-73.48,33.01,17.22
Punta Arenas,90,CL,1554175946,93,-53.16,-70.91,50.0,3.36
Potsdam,0,DE,1554176462,55,52.4,13.06,39.99,12.75
Cuamba,32,MZ,1554176493,85,-14.8,36.54,60.46,2.84
Ushuaia,40,AR,1554174000,87,-54.81,-68.31,50.0,8.05
Mataura,92,NZ,1554175807,68,-46.19,168.86,55.99,7.0
Rikitea,0,PF,1554176249,100,-23.12,-134.97,76.12,16.71
Jamestown,0,AU,1554176263,57,-33.21,138.6,70.99,5.08
Saint George,0,GR,1554175999,70,39.45,22.34,52.0,4.7
Mantua,0,IT,1554176464,61,45.16,10.79,57.99,3.36
Bambous Virieux,40,MU,1554176341,94,-20.34,57.76,79.0,3.36
Tuatapere,92,NZ,1554176404,70,-46.13,167.69,55.99,7.0
Barrow,80,AR,1554176242,72,-38.31,-60.23,72.07,12.46
Laguna,8,MX,1554176391,33,27.52,-110.01,71.17,2.73
Leningradskiy,44,RU,1554175998,99,69.38,178.42,20.77,11.9
Kodiak,1,US,1554176327,26,39.95,-94.76,48.2,11.41
San Rafael,0,AR,1554175947,66,-34.61,-68.33,61.0,5.41
Haines Junction,0,CA,1554176510,48,60.75,-137.51,41.92,2.06
Dikson,76,RU,1554176231,97,73.51,80.55,25.81,25.21
Hermanus,0,ZA,1554175891,86,-34.42,19.24,55.99,5.86
Tuktoyaktuk,40,CA,1554174000,84,69.44,-133.03,5.0,9.17
Iqaluit,40,CA,1554175922,59,63.75,-68.52,-0.01,12.75
Kibala,20,TD,1554174000,51,9.11,18.35,84.2,4.7
Upernavik,48,GL,1554176321,100,72.79,-56.15,13.93,6.42
Provideniya,90,RU,1554174000,100,64.42,-173.23,32.0,8.95
